Subsystem,Instance,Parameter,CurrentModelTarget,PlannedConfigKey,ConfigRecordCreated,ComponentParameterCreated,ActualTargetConnected,DefaultMatched,UnitConversion,Status
EPS,battery,SeriesCellCount,Components.BatteryUnit.cells.Ns,SpacecraftDesignConfig.eps.battery.SeriesCellCount,True,True,True,True,identity,PASS
EPS,battery,ParallelCellCount,Components.BatteryUnit.cells.Np,SpacecraftDesignConfig.eps.battery.ParallelCellCount,True,True,True,True,identity,PASS
EPS,battery,CellCapacity_Ah,Components.BatteryUnit.cellData.Qnom,SpacecraftDesignConfig.eps.battery.CellCapacity_Ah,True,True,True,True,Ah -> SI,PASS
EPS,battery,CellOCVMax,Components.BatteryUnit.cellData.OCVmax,SpacecraftDesignConfig.eps.battery.CellOCVMax,True,True,True,True,V -> SI,PASS
EPS,battery,CellOCVMin,Components.BatteryUnit.cellData.OCVmin,SpacecraftDesignConfig.eps.battery.CellOCVMin,True,True,True,True,V -> SI,PASS
EPS,battery,CellInternalResistance,Components.BatteryUnit.cellData.Ri,SpacecraftDesignConfig.eps.battery.CellInternalResistance,True,True,True,True,Ω -> SI,PASS
EPS,battery,CellSOCMin,Components.BatteryUnit.cellData.SOCmin,SpacecraftDesignConfig.eps.battery.CellSOCMin,True,True,True,True,identity,PASS
EPS,battery,CellSOCMax,Components.BatteryUnit.cellData.SOCmax,SpacecraftDesignConfig.eps.battery.CellSOCMax,True,True,True,True,identity,PASS
EPS,battery,EOLCapacityFactor,Components.BatteryUnit.batteryEOLCapacityFactor,SpacecraftDesignConfig.eps.battery.EOLCapacityFactor,True,True,True,True,identity,PASS
EPS,battery,UseEOLCapacity,Components.BatteryUnit.useEOLCapacity,SpacecraftDesignConfig.eps.battery.UseEOLCapacity,True,True,True,True,identity,PASS
EPS,battery,ContactResistance,Components.BatteryUnit.contact.R,SpacecraftDesignConfig.eps.battery.ContactResistance,True,True,True,True,Ω -> SI,PASS
EPS,battery,HeaterResistance,Components.BatteryUnit.batteryHeaterResistance,SpacecraftDesignConfig.eps.battery.HeaterResistance,True,True,True,True,Ω -> SI,PASS
EPS,battery,CellHeatCapacity,Components.BatteryUnit.cellThermalMass.C,SpacecraftDesignConfig.eps.battery.CellHeatCapacity,True,True,True,True,J/K -> SI,PASS
EPS,battery,EnclosureHeatCapacity,Components.BatteryUnit.enclosureThermalMass.C,SpacecraftDesignConfig.eps.battery.EnclosureHeatCapacity,True,True,True,True,J/K -> SI,PASS
EPS,battery,InternalThermalConductance,Components.BatteryUnit.internalPath.G,SpacecraftDesignConfig.eps.battery.InternalThermalConductance,True,True,True,True,W/K -> SI,PASS
EPS,battery,MountThermalConductance,Components.BatteryUnit.mountPath.G,SpacecraftDesignConfig.eps.battery.MountThermalConductance,True,True,True,True,W/K -> SI,PASS
EPS,battery,Mass,Components.BatteryUnit.housing.m,SpacecraftDesignConfig.eps.battery.Mass,True,True,True,True,kg -> SI,PASS
EPS,battery,RCM_X,Components.BatteryUnit.housing.r_CM[1],SpacecraftDesignConfig.eps.battery.RCM_X,True,True,True,True,m -> SI,PASS
EPS,battery,RCM_Y,Components.BatteryUnit.housing.r_CM[2],SpacecraftDesignConfig.eps.battery.RCM_Y,True,True,True,True,m -> SI,PASS
EPS,battery,RCM_Z,Components.BatteryUnit.housing.r_CM[3],SpacecraftDesignConfig.eps.battery.RCM_Z,True,True,True,True,m -> SI,PASS
EPS,battery,Inertia_XX,Components.BatteryUnit.housing.I_11,SpacecraftDesignConfig.eps.battery.Inertia_XX,True,True,True,True,kg·m² -> SI,PASS
EPS,battery,Inertia_YY,Components.BatteryUnit.housing.I_22,SpacecraftDesignConfig.eps.battery.Inertia_YY,True,True,True,True,kg·m² -> SI,PASS
EPS,battery,Inertia_ZZ,Components.BatteryUnit.housing.I_33,SpacecraftDesignConfig.eps.battery.Inertia_ZZ,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayPlusX,ActiveArea,Components.BodyMountedSolarArrayPlusXUnit.activeArea,SpacecraftDesignConfig.eps.solarArrayPlusX.ActiveArea,True,True,True,True,m² -> SI,PASS
EPS,solarArrayPlusX,CellEfficiency,Components.BodyMountedSolarArrayPlusXUnit.cellEfficiency,SpacecraftDesignConfig.eps.solarArrayPlusX.CellEfficiency,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,SolarEOLFactor,Components.BodyMountedSolarArrayPlusXUnit.solarEOLFactor,SpacecraftDesignConfig.eps.solarArrayPlusX.SolarEOLFactor,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,UseSolarEOL,Components.BodyMountedSolarArrayPlusXUnit.useSolarEOL,SpacecraftDesignConfig.eps.solarArrayPlusX.UseSolarEOL,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,MPPTDeliveryEfficiency,Components.BodyMountedSolarArrayPlusXUnit.etaMPPT,SpacecraftDesignConfig.eps.solarArrayPlusX.MPPTDeliveryEfficiency,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,SolarAbsorptivity,Components.BodyMountedSolarArrayPlusXUnit.panelSolarAbsorptivity,SpacecraftDesignConfig.eps.solarArrayPlusX.SolarAbsorptivity,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,InfraredAbsorptivity,Components.BodyMountedSolarArrayPlusXUnit.panelInfraredAbsorptivity,SpacecraftDesignConfig.eps.solarArrayPlusX.InfraredAbsorptivity,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,Emissivity,Components.BodyMountedSolarArrayPlusXUnit.panelEmissivity,SpacecraftDesignConfig.eps.solarArrayPlusX.Emissivity,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,MountConductance,Components.BodyMountedSolarArrayPlusXUnit.panelMountConductance,SpacecraftDesignConfig.eps.solarArrayPlusX.MountConductance,True,True,True,True,W/K -> SI,PASS
EPS,solarArrayPlusX,HarnessResistance,Components.BodyMountedSolarArrayPlusXUnit.blockingHarness.R,SpacecraftDesignConfig.eps.solarArrayPlusX.HarnessResistance,True,True,True,True,Ω -> SI,PASS
EPS,solarArrayPlusX,PanelHeatCapacity,Components.BodyMountedSolarArrayPlusXUnit.panelThermalMass.C,SpacecraftDesignConfig.eps.solarArrayPlusX.PanelHeatCapacity,True,True,True,True,J/K -> SI,PASS
EPS,solarArrayPlusX,Normal_X,Components.BodyMountedSolarArrayPlusXUnit.panelNormalBody[1],SpacecraftDesignConfig.eps.solarArrayPlusX.Normal_X,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,Normal_Y,Components.BodyMountedSolarArrayPlusXUnit.panelNormalBody[2],SpacecraftDesignConfig.eps.solarArrayPlusX.Normal_Y,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,Normal_Z,Components.BodyMountedSolarArrayPlusXUnit.panelNormalBody[3],SpacecraftDesignConfig.eps.solarArrayPlusX.Normal_Z,True,True,True,True,identity,PASS
EPS,solarArrayPlusX,Mass,Components.BodyMountedSolarArrayPlusXUnit.panelBody.m,SpacecraftDesignConfig.eps.solarArrayPlusX.Mass,True,True,True,True,kg -> SI,PASS
EPS,solarArrayPlusX,RCM_X,Components.BodyMountedSolarArrayPlusXUnit.panelBody.r_CM[1],SpacecraftDesignConfig.eps.solarArrayPlusX.RCM_X,True,True,True,True,m -> SI,PASS
EPS,solarArrayPlusX,RCM_Y,Components.BodyMountedSolarArrayPlusXUnit.panelBody.r_CM[2],SpacecraftDesignConfig.eps.solarArrayPlusX.RCM_Y,True,True,True,True,m -> SI,PASS
EPS,solarArrayPlusX,RCM_Z,Components.BodyMountedSolarArrayPlusXUnit.panelBody.r_CM[3],SpacecraftDesignConfig.eps.solarArrayPlusX.RCM_Z,True,True,True,True,m -> SI,PASS
EPS,solarArrayPlusX,Inertia_XX,Components.BodyMountedSolarArrayPlusXUnit.panelBody.I_11,SpacecraftDesignConfig.eps.solarArrayPlusX.Inertia_XX,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayPlusX,Inertia_YY,Components.BodyMountedSolarArrayPlusXUnit.panelBody.I_22,SpacecraftDesignConfig.eps.solarArrayPlusX.Inertia_YY,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayPlusX,Inertia_ZZ,Components.BodyMountedSolarArrayPlusXUnit.panelBody.I_33,SpacecraftDesignConfig.eps.solarArrayPlusX.Inertia_ZZ,True,True,True,True,kg·m² -> SI,PASS
EPS,solarArrayPlusY,ActiveArea,Components.BodyMountedSolarArrayPlusYUnit.activeArea,SpacecraftDesignConfig.eps.solarArrayPlusY.ActiveArea,True,True,True,True,m² -> SI,PASS
EPS,solarArrayPlusY,CellEfficiency,Components.BodyMountedSolarArrayPlusYUnit.cellEfficiency,SpacecraftDesignConfig.eps.solarArrayPlusY.CellEfficiency,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,SolarEOLFactor,Components.BodyMountedSolarArrayPlusYUnit.solarEOLFactor,SpacecraftDesignConfig.eps.solarArrayPlusY.SolarEOLFactor,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,UseSolarEOL,Components.BodyMountedSolarArrayPlusYUnit.useSolarEOL,SpacecraftDesignConfig.eps.solarArrayPlusY.UseSolarEOL,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,MPPTDeliveryEfficiency,Components.BodyMountedSolarArrayPlusYUnit.etaMPPT,SpacecraftDesignConfig.eps.solarArrayPlusY.MPPTDeliveryEfficiency,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,SolarAbsorptivity,Components.BodyMountedSolarArrayPlusYUnit.panelSolarAbsorptivity,SpacecraftDesignConfig.eps.solarArrayPlusY.SolarAbsorptivity,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,InfraredAbsorptivity,Components.BodyMountedSolarArrayPlusYUnit.panelInfraredAbsorptivity,SpacecraftDesignConfig.eps.solarArrayPlusY.InfraredAbsorptivity,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,Emissivity,Components.BodyMountedSolarArrayPlusYUnit.panelEmissivity,SpacecraftDesignConfig.eps.solarArrayPlusY.Emissivity,True,True,True,True,identity,PASS
EPS,solarArrayPlusY,MountConductance,Components.BodyMountedSolarArrayPlusYUnit.panelMountConductance,SpacecraftDesignConfig.eps.solarArrayPlusY.MountConductance,True,True,True,True,W/K -> SI,PASS
EPS,solarArrayPlusY,HarnessResistance,Components.BodyMountedSolarArrayPlusYUnit.equivalentDualHarness.R,SpacecraftDesignConfig.eps.solarArrayPlusY.HarnessResistance,True,True,True,True,Ω -> SI,PASS
EPS,solarArrayPlusY,PanelHeatCapacity,Components.BodyMountedSolarArrayPlusYUnit.panelThermalMass.C,SpacecraftDesignConfig.eps.solarArrayPlusY.PanelHeatCapacity,True,True,True,True,J/K -> SI,PASS
