component,instance,class,mass_kg,absolute_com_m,local_inertia_kg_m2,parallel_axis_contribution_kg_m2
CommunicationSystem.ttc:RadioReceiverUnit,receiverBody,Body,0.38,"{0,0,0}","{{0.0011,0,0},{0,0.0014,0},{0,0,0.001}}","{{0.00280402273067,-3.72574738e-06,-6.42863753808e-05},{-3.72574738e-06,0.0027961148147,-0.000161964455263},{-6.42863753808e-05,-0.000161964455263,1.08655376895e-05}}"
CommunicationSystem.baseband:LowRateTelemetryTransmitterUnit,basebandBody,Body,0.34,"{0,0,0}","{{0.0009,0,0},{0,0.0012,0},{0,0,0.0009}}","{{0.00250886244324,-3.33356344526e-06,-5.75193884986e-05},{-3.33356344526e-06,0.00250178693947,-0.000144915565235},{-5.75193884986e-05,-0.000144915565235,9.72179688006e-06}}"
CommunicationSystem.xband:XBandTransmitterUnit,transmitterBody,Body,0.62,"{0,0,0}","{{0.002,0,0},{0,0.0026,0},{0,0,0.0018}}","{{0.00457498445531,-6.07885098842e-06,-0.000104888296674},{-6.07885098842e-06,0.00456208206608,-0.000264257795428},{-0.000104888296674,-0.000264257795428,1.7727982546e-05}}"
CommunicationSystem.antenna:AntennaUnit,antennaMass,Body,0.24,"{0,0,0.44}","{{0.0028,0,0},{0,0.0028,0},{0,0,0.0004}}","{{0.0301230313303,-2.35310360842e-06,0.000167716864159},{-2.35310360842e-06,0.0301180368571,0.000422549418611},{0.000167716864159,0.000422549418611,6.86244485652e-06}}"
DataHandlingSystem.obc:OnboardComputerUnit,obcBody,Body,0.46,"{0,0,0}","{{0.0012,0,0},{0,0.0015,0},{0,0,0.0011}}","{{0.00339434330555,-4.51011524947e-06,-7.78203491452e-05},{-4.51011524947e-06,0.00338477056516,-0.000196062235318},{-7.78203491452e-05,-0.000196062235318,1.31530193083e-05}}"
DataHandlingSystem.recorder:DataRecorderUnit,recorderBody,Body,0.44,"{0,0,0}","{{0.0013,0,0},{0,0.0017,0},{0,0,0.0012}}","{{0.00324676316183,-4.31402328211e-06,-7.44368557041e-05},{-4.31402328211e-06,0.00323760662754,-0.000187537790304},{-7.44368557041e-05,-0.000187537790304,1.25811489036e-05}}"
ElectricalPowerSystem.solarArrayPlusX:BodyMountedSolarArrayPlusXUnit,panelBody,Body,0.28,"{0.113,0,0}","{{0.003889,0,0},{0,0.002697,0},{0,0,0.001192}}","{{0.00206612201208,0.000154508736015,0.00266599036112},{0.000154508736015,0.00551078167261,-0.000119342230193},{0.00266599036112,-0.000119342230193,0.00345849273166}}"
ElectricalPowerSystem.solarArrayPlusY:BodyMountedSolarArrayPlusYUnit,panelBody,Body,0.28,"{0,0.113,0}","{{0.002697,0,0},{0,0.003889,0},{0,0,0.001192}}","{{0.00532693396496,5.96714394615e-05,-4.73689081754e-05},{5.96714394615e-05,0.00206029512662,0.00259401703911},{-4.73689081754e-05,0.00259401703911,0.00326881813855}}"
ElectricalPowerSystem.solarArrayMinusX:BodyMountedSolarArrayMinusXUnit,panelBody,Body,0.25,"{-0.113,0,0}","{{0.003472,0,0},{0,0.002408,0},{0,0,0.001064}}","{{0.0018447517965,-0.000142856527769,-0.00246493587275},{-0.000142856527769,0.00514325766127,-0.000106555562673},{-0.00246493587275,-0.000106555562673,0.00331085682114}}"
ElectricalPowerSystem.battery:BatteryUnit,housing,Body,2.35,"{0,0,0}","{{0.018,0,0},{0,0.011,0},{0,0,0.016}}","{{0.0173406668871,-2.30408061658e-05,-0.000397560479329},{-2.30408061658e-05,0.0172917626698,-0.00100162228912},{-0.000397560479329,-0.00100162228912,6.71947725534e-05}}"
ElectricalPowerSystem.pcdu:PowerConditioningUnit,boardBody,Body,0.72,"{0,0,0}","{{0.002,0,0},{0,0.003,0},{0,0,0.002}}","{{0.00531288517391,-7.05931082526e-06,-0.000121805763879},{-7.05931082526e-06,0.00529790175416,-0.000306880020498},{-0.000121805763879,-0.000306880020498,2.05873345695e-05}}"
GNCSystem.computer:GNCComputerUnit,unitBody,Body,0.39,"{0,0,0}","{{0.001,0,0},{0,0.0012,0},{0,0,0.001}}","{{0.00287781280253,-3.82379336368e-06,-6.59781221014e-05},{-3.82379336368e-06,0.0028696967835,-0.00016622667777},{-6.59781221014e-05,-0.00016622667777,1.11514728918e-05}}"
GNCSystem.wheelX:ReactionWheelXUnit,wheelHousing,Body,0.18,"{-0.06,-0.04,0.12}","{{5.1e-05,0,0},{0,5.1e-05,0},{0,0,7.5e-05}}","{{0.000575077725384,-0.000501645481589,0.000381980960891},{-0.000501645481589,0.000902373064001,0.000277182023001},{0.000381980960891,0.000277182023001,0.00105532696141}}"
GNCSystem.wheelY:ReactionWheelYUnit,wheelHousing,Body,0.18,"{0.06,-0.04,0.12}","{{5.1e-05,0,0},{0,5.1e-05,0},{0,0,7.5e-05}}","{{0.000575077725384,0.00046970871907,-0.000357662521509},{0.00046970871907,0.00081715174268,0.000277182023001},{-0.000357662521509,0.000277182023001,0.000970105640088}}"
GNCSystem.wheelZ:ReactionWheelZUnit,wheelHousing,Body,0.18,"{-0.06,0.04,0.12}","{{5.1e-05,0,0},{0,5.1e-05,0},{0,0,7.5e-05}}","{{0.000431938791172,0.000390761625518,0.000381980960891},{0.000390761625518,0.000902373064001,-0.000215913631932},{0.000381980960891,-0.000215913631932,0.000912188027197}}"
GNCSystem.wheelS:ReactionWheelSUnit,wheelHousing,Body,0.18,"{0.06,0.04,0.12}","{{5.1e-05,0,0},{0,5.1e-05,0},{0,0,7.5e-05}}","{{0.000431938791172,-0.000365884173823,-0.000357662521509},{-0.000365884173823,0.00081715174268,-0.000215913631932},{-0.000357662521509,-0.000215913631932,0.000826966705876}}"
GNCSystem.starY:StarTrackerYUnit,opticalBody,Body,0.48,"{0,0.12,0}","{{0.0015,0,0},{0,0.001,0},{0,0,0.0015}}","{{0.00988136771243,0.000108922221211,-8.12038425863e-05},{0.000108922221211,0.00353193450277,0.00473503069993},{-8.12038425863e-05,0.00473503069993,0.00635316915287}}"
GNCSystem.starZ:StarTrackerZUnit,trackerBody,Body,0.52,"{0,0,0.11}","{{0.0016,0,0},{0,0.0016,0},{0,0,0.001}}","{{0.000318454773128,-5.09839115158e-06,2.48685126512e-05},{-5.09839115158e-06,0.000307633414421,6.26542573117e-05},{2.48685126512e-05,6.26542573117e-05,1.48686305224e-05}}"
GNCSystem.yh50:RateGyroUnit,gyroBody,Body,0.68,"{0,0,0}","{{0.0022,0,0},{0,0.0022,0},{0,0,0.0022}}","{{0.00501772488647,-6.66712689053e-06,-0.000115038776997},{-6.66712689053e-06,0.00500357387893,-0.00028983113047},{-0.000115038776997,-0.00028983113047,1.94435937601e-05}}"
GNCSystem.mems:MEMSIMUUnit,imuBody,Body,0.19,"{0,0,0}","{{0.00025,0,0},{0,0.00022,0},{0,0,0.00024}}","{{0.00140201136534,-1.86287369e-06,-3.21431876904e-05},{-1.86287369e-06,0.00139805740735,-8.09822276313e-05},{-3.21431876904e-05,-8.09822276313e-05,5.43276884474e-06}}"
