Kind,Subsystem,Instance,ComponentModel,Category,Parameter,ExcelValue,Unit,UseDefault,ResolvedValue,ResolvedSIValue,ConfigKey,ModelicaTarget,ChangedFromDefault
Component,EPS,battery,Components.BatteryUnit,Functional,SeriesCellCount,4,1,True,4.0,4.0,SpacecraftDesignConfig.eps.battery.SeriesCellCount,Components.BatteryUnit.cells.Ns,False
Component,EPS,battery,Components.BatteryUnit,Functional,ParallelCellCount,2,1,True,2.0,2.0,SpacecraftDesignConfig.eps.battery.ParallelCellCount,Components.BatteryUnit.cells.Np,False
Component,EPS,battery,Components.BatteryUnit,Functional,CellCapacity_Ah,8.5,Ah,True,30600.0,30600.0,SpacecraftDesignConfig.eps.battery.CellCapacity_Ah,Components.BatteryUnit.cellData.Qnom,False
Component,EPS,battery,Components.BatteryUnit,Electrical,CellOCVMax,4.2,V,True,4.2,4.2,SpacecraftDesignConfig.eps.battery.CellOCVMax,Components.BatteryUnit.cellData.OCVmax,False
Component,EPS,battery,Components.BatteryUnit,Electrical,CellOCVMin,3.2,V,True,3.2,3.2,SpacecraftDesignConfig.eps.battery.CellOCVMin,Components.BatteryUnit.cellData.OCVmin,False
Component,EPS,battery,Components.BatteryUnit,Electrical,CellInternalResistance,0.018,Ω,True,0.018,0.018,SpacecraftDesignConfig.eps.battery.CellInternalResistance,Components.BatteryUnit.cellData.Ri,False
Component,EPS,battery,Components.BatteryUnit,Functional,CellSOCMin,0.08,1,True,0.08,0.08,SpacecraftDesignConfig.eps.battery.CellSOCMin,Components.BatteryUnit.cellData.SOCmin,False
Component,EPS,battery,Components.BatteryUnit,Functional,CellSOCMax,0.98,1,True,0.98,0.98,SpacecraftDesignConfig.eps.battery.CellSOCMax,Components.BatteryUnit.cellData.SOCmax,False
Component,EPS,battery,Components.BatteryUnit,Life,EOLCapacityFactor,0.85,1,True,0.85,0.85,SpacecraftDesignConfig.eps.battery.EOLCapacityFactor,Components.BatteryUnit.batteryEOLCapacityFactor,False
Component,EPS,battery,Components.BatteryUnit,Configuration,UseEOLCapacity,False,Boolean,True,False,False,SpacecraftDesignConfig.eps.battery.UseEOLCapacity,Components.BatteryUnit.useEOLCapacity,False
Component,EPS,battery,Components.BatteryUnit,Electrical,ContactResistance,0.012,Ω,True,0.012,0.012,SpacecraftDesignConfig.eps.battery.ContactResistance,Components.BatteryUnit.contact.R,False
Component,EPS,battery,Components.BatteryUnit,Electrical,HeaterResistance,110,Ω,True,110.0,110.0,SpacecraftDesignConfig.eps.battery.HeaterResistance,Components.BatteryUnit.batteryHeaterResistance,False
Component,EPS,battery,Components.BatteryUnit,Thermal,CellHeatCapacity,3200,J/K,True,3200.0,3200.0,SpacecraftDesignConfig.eps.battery.CellHeatCapacity,Components.BatteryUnit.cellThermalMass.C,False
Component,EPS,battery,Components.BatteryUnit,Thermal,EnclosureHeatCapacity,700,J/K,True,700.0,700.0,SpacecraftDesignConfig.eps.battery.EnclosureHeatCapacity,Components.BatteryUnit.enclosureThermalMass.C,False
Component,EPS,battery,Components.BatteryUnit,Thermal,InternalThermalConductance,0.65,W/K,True,0.65,0.65,SpacecraftDesignConfig.eps.battery.InternalThermalConductance,Components.BatteryUnit.internalPath.G,False
Component,EPS,battery,Components.BatteryUnit,Thermal,MountThermalConductance,0.12,W/K,True,0.12,0.12,SpacecraftDesignConfig.eps.battery.MountThermalConductance,Components.BatteryUnit.mountPath.G,False
